,Unnamed: 0.1,Unnamed: 0,title,tmdbid,rank,release_date,runtime,summary,genres,production,country,director,starring,poster_path,study_level
0,0,0,Coco,354912,8.21,2017-10-27,105,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","Family, Animation, Music, Adventure",Pixar,United States of America,Lee Unkrich,"Luis Valdez, Blanca Araceli, Herbert Siguenza, Dyana Ortelli, Alfonso Arau, Jaime Camil, Anthony Gonzalez, Carla Medina, Montse Hernandez, Lombardo Boyar, Sofía Espinosa, Polo Rojas, Octavio Solis, Selene Luna, Gabriel Iglesias, Natalia Cordova-Buckley, John Ratzenberger, Salvador Reyes, Cheech Marin, Alanna Ubach, Edward James Olmos, Ana Ofelia Murguía, Benjamin Bratt, Gael García Bernal, Renee Victor",/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,A2
253,253,768,Singin' in the Rain,872,8.2,1952-04-09,103,"In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.","Comedy, Romance",Metro-Goldwyn-Mayer,United States of America,"Gene Kelly, Stanley Donen","Robert Fortier, Jimmy Kelly, Janet Lavis, Phil Schumacher, Rita Moreno, Gloria Dea, Jimmy Bates, Barbara Carroll, Peggy Murray, Lulu Mae Bohrman, Stuart Holmes, Bette Arlen, Dorothy McCarty, Gene Kelly, Allen Sutherland, Pat Walker, Robert Haines, Bill Chatham, Madge Blake, John Dodsworth, Forbes Murray, David Bair, Virginia Lee, Joi Lansing, Philo McCullough, Glen Gallagher, Carl Milletaire, Dorinda Clifton, David Kasday, Charles Evans, Dawn Addams, Anne Neyland, William Hamel, Diki Lerner, Charles Regan, Sam Harris, Jan Kayne, Julius Tannen, Don Hulbert, Norma Zimmer, Ann McCrea, Doris Fulton, Chet Brandenburg, Tommy Farrell, Clair Freeman, Sue Allen, Dan Foster, Meredith Leeds, Lana Turner, Kay Deslys, Gloria Moore, Harry Tenbrook, Lars Hensen, Helen Eby-Rock, Betty Scott, Pat Conway, Morgan Jones, Shirley Jean Rickert, Joseph Mell, Wilson Wood, William F. Leicester, Douglas Fowley, Peggy Leon, Ray McDonald, Sylvia Lewis, Beatrice Gray, Leon Lontoc, Ivor James, George Reeder, Marcella Becker, Bobby Watson, Ruth Packard, A. Cameron Grant, Mae Clarke, Chalky Williams, Chick Collins, Jean Heremans, Bill Lewin, Diane Garrett, King Lockwood, Donald O'Connor, William Schallert, Brick Sullivan, Jean Harrison, David Sharpe, Paul Maxey, Bert Davidson, Betty Hannon, Mike Lally, Lance Fuller, Jack Hendricks, Beverly Thompson, Tyra Vaughn, Leota Lorraine, Robert Foulk, Harry Denny, Phil Dunham, Cosmo Sardo, Robert B. Williams, Frank Hyers, Dee Turnell, Kenneth Gibson, John Albright, Beverly Thomas, Cyd Charisse, Tex Brodus, Harry Cody, Paul Salata, Jimmy Thompson, Finn Zirzow, Dorothy Tuttle, Ruby C. Currie, Adam York, Michael Dugan, John George, Tony Rocke, Mary Bayless, Jean Hagen, Jon Gardner, Debbie Reynolds, Betty Erbes, Patricia Jackson, Joanne Rio, Ernie Flatt, Robert Dayo, Dennis Ross, Millard Mitchell, Gail Bonney, King Donovan, Tommy Walker, Gwen Carter, Jeanne Gail, Angi O. Poulos, Marion Gray, Margaret Bert, Kathleen Freeman, Fred Datig Jr., Judy Landon, Jack George, Elaine Stewart, Inez Gorman, Dorothy Patrick, Bess Flowers, Patricia Denise, Mickey Golden, Marie Ardell, Allen Pinson, George Ford, Victor Romito, Richard Emory, Lyle Clark, Timmy Hawkins, Kenner G. Kemp, Harry 'Snub' Pollard, Jeanne Coyne, Johnny McGovern, Betty Van Allen",/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,A2
15,15,39,Toy Story,862,8.0,1995-10-30,81,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","Animation, Adventure, Family, Comedy",Pixar,United States of America,John Lasseter,"Jan Rabson, Wallace Shawn, Sam Lasseter, Jim Varney, Penn Jillette, Spencer Aste, Kendall Cunningham, Jeff Pidgeon, Tracy Fraim, Jonathan Benair, Cody Dorkin, R. Lee Ermey, Tom Hanks, Bill Farmer, John Ratzenberger, Laurie Metcalf, Tim Allen, Brittany Levenbrown, Scott McAfee, Lisa Bradley, Sarah Freeman, John Morris, Erik von Detten, John Lasseter, Jack Angel, Mickie McGowan, Debi Derryberry, Phil Proctor, Joe Ranft, Greg Berg, Craig Good, Sherry Lynn, Andrew Stanton, Gregory Grudt, Shane Sweet, Don Rickles, Danielle Judovits, Annie Potts, Anthony Burch, Ryan O'Donohue, Patrick Pinney",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,A2
94,94,277,Up,14160,7.958,2009-05-28,96,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.","Animation, Comedy, Family, Adventure",Pixar,United States of America,Pete Docter,"Jan Rabson, Mark Andrews, Bob Peterson, Jerome Ranft, Donald Fullilove, Paul Eiding, Teddy Newton, Danny Mann, John Ratzenberger, Elie Docter, Bob Scott, Delroy Lindo, Jess Harnell, John Cygan, David Kaye, Pete Docter, Emma Coats, Jeff Pidgeon, Tony Fucile, Teresa Ganzel, Brenda Chapman, Ed Asner, Christopher Plummer, Mickie McGowan, Valerie LaPointe, Jordan Nagai, Sherry Lynn, Josh Cooley, Bob Bergen, Jeremy Leary, Laraine Newman",/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,A2
4,4,15,Coraline,14836,7.9,2009-02-05,100,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.","Animation, Family, Fantasy",Laika,United States of America,Henry Selick,"John Hodgman, Robert Bailey Jr., Harry Selick, Jennifer Saunders, George Selick, Marina Budovsky, Hannah Kaiser, Dawn French, Aankha Neal, Carolyn Crawford, Yona Prost, Jeremy Ryder, Dakota Fanning, John Linnell, Emerson Tenney, Christopher Murrie, Keith David, Teri Hatcher, Jerome Ranft, Ian McShane",/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,A2
828,828,2790,Young Frankenstein,3034,7.9,1974-12-15,106,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",Comedy,Crossbow Productions,United States of America,Mel Brooks,"Clement von Franckenstein, Terrence Pushman, Lidia Kristen, Madeline Kahn, Danny Goldman, Berry Kroeger, Arthur Tovey, Monte Landis, Rusty Blitz, Mel Brooks, Cloris Leachman, John Dennis, Lars Hensen, Johnny Marlin, Teri Garr, Arthur Malet, Richard A. Roth, Gene Hackman, Pat O'Hara, Peter Boyle, Oscar Beregi Jr., Maida Severn, Richard Haydn, Rolfe Sedan, Liam Dunn, Randolph Dobbs, Kenneth Mars, Ian Abercrombie, Jeff Maxwell, Anne Beesley, Marty Feldman, Gene Wilder, Michael Fox, Max Wagner, Norbert Schiller, Rick Norman, Lou Cutell, John Madison, Leoda Richards",/tQJAWbIjvvqVKLLbIZHtwGw2HTf.jpg,A2
41,41,107,"Monsters, Inc.",585,7.845,2001-11-01,92,"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.","Animation, Comedy, Family",Pixar,United States of America,Pete Docter,"Samuel Lord Black, Ashley Edner, Sherry Lynn, Danny Mann, Steve Buscemi, Joe Ranft, Pat Fraley, Bob Peterson, Bob Scott, John Goodman, Jeff Pidgeon, Jennifer Tilly, Bill Farmer, Gino Conforti, Jennifer Darling, Noah Luke, James Coburn, Billy Crystal, Pete Docter, Daniel Gerson, Keegan Farrell, Marc John Jefferies, Jack Angel, Frank Oz, Patti Deutsch, Laraine Newman, Josh Qualtieri, John Ratzenberger, Bobby Edner, Taylor Gifaldi, Mickie McGowan, Kay Panabaker, Guido Quaroni, Rodger Bumpass, Katherine Ringgold, Lee Unkrich, Katie Scarlett, David Silverman, Bret Parker, Paul Eiding, Lisa Raggio, Jim Thornton, Steve Susskind, Teresa Ganzel, Mary Gibbs, Bob Bergen, Jan Rabson, Wallace Shawn, Mona Marshall, Sophia Ranft, Bonnie Hunt, Joe Lala, Phil Proctor",/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg,A2
9,9,26,The Nightmare Before Christmas,9479,7.84,1993-10-09,76,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.","Fantasy, Animation, Family",Touchstone Pictures,United States of America,Henry Selick,"John Morris, Gary Schwartz, Glenn Walters, Ann Fraser, Kerry Katz, Elena Praskin, Catherine O'Hara, Robert Olague, Susan McBride, L. Peter Callender, Bobbi Page, Chris Sarandon, Daamen J. Krall, Mia Brown, Jennifer Levey, David J. Randolph, Edward Ivory, Randy Crenshaw, Ken Page, Danny Elfman, Tim Burton, Paul Reubens, Jesse McClurg, Christina MacGregor, Trampas Warman, Gary Raff, Debi Durst, William Hickey, Greg Proops, Doris Hess, Joe Ranft, Glenn Shadix, David McCharen, Judi M. Durand, Sherwood Ball, Carmen Twillie",/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,A2
118,118,335,Toy Story 3,10193,7.8,2010-06-16,103,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","Animation, Family, Comedy",Pixar,United States of America,Lee Unkrich,"Jan Rabson, Bud Luckey, Wallace Shawn, Teddy Newton, Godfrey Gao, Blake Clark, Teresa Ganzel, Nikolas Michailidis, Richard Kind, Jeff Pidgeon, Jodi Benson, Carlos Alazraqui, Amber Kroner, Danny Mann, Tom Hanks, R. Lee Ermey, Woody Smith, John Ratzenberger, Laurie Metcalf, Tim Allen, Adam Joshua Jastrow, Jeff Garlin, Bonnie Hunt, Leo Jergovic, Hannah Unkrich, Theodore F. Kayser, Jim Ward, Lori Alan, Emily Hahn, Brianna Maiwand, Jess Harnell, Bob Peterson, Bea Miller, Laraine Newman, John Morris, Jerome Ranft, Whoopi Goldberg, Colleen O'Shaughnessey, Erik von Detten, Jack Angel, Mickie McGowan, Ned Beatty, Estelle Harris, Gia Michailidis, Colette Whitaker, John Cygan, Sherry Lynn, Kristen Schaal, Don Rickles, Aramé Scott, Timothy Dalton, Lee Unkrich, Joan Cusack, Charlie Bright, Constantino Bravos, Michael Keaton, Taiana Huff, Javier Fernández-Peña, Frank Welker, Jack Willis",/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,A2
458,458,1397,Fantastic Mr. Fox,10315,7.8,2009-10-23,87,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.","Adventure, Animation, Comedy, Family",Regency Enterprises,United States of America,Wes Anderson,"Jeremy Dawson, Helen McCrory, George Clooney, James Hamilton, Jennifer Furches, Owen Wilson, Jarvis Cocker, Martin Ballard, Jason Schwartzman, Roman Coppola, Meryl Streep, Bill Murray, Michael Gambon, Juman Malouf, Allison Abbate, Hugo Guinness, Wallace Wolodarsky, Rob Hersov, Karen Duffy, Willem Dafoe, Mario Batali, Garth Jennings, Adrien Brody, Molly Cooper, Wes Anderson, Brian Cox, Tristan Oliver, Steven M. Rales, Eric Chase Anderson, Robin Hurlstone",/t5v2Zsb5sa6PSP9jMUWY4GdIb3c.jpg,A2
