,Unnamed: 0.1,Unnamed: 0,title,tmdbid,rank,release_date,runtime,summary,genres,production,country,director,starring,poster_path,study_level
0,0,0,Coco,354912,8.21,2017-10-27,105,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","Family, Animation, Music, Adventure",Pixar,United States of America,Lee Unkrich,"Luis Valdez, Blanca Araceli, Herbert Siguenza, Dyana Ortelli, Alfonso Arau, Jaime Camil, Anthony Gonzalez, Carla Medina, Montse Hernandez, Lombardo Boyar, Sofía Espinosa, Polo Rojas, Octavio Solis, Selene Luna, Gabriel Iglesias, Natalia Cordova-Buckley, John Ratzenberger, Salvador Reyes, Cheech Marin, Alanna Ubach, Edward James Olmos, Ana Ofelia Murguía, Benjamin Bratt, Gael García Bernal, Renee Victor",/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,A2
1,1,9,Interstellar,157336,8.442,2014-11-05,169,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Adventure, Drama, Science Fiction",Legendary Pictures,United Kingdom,Christopher Nolan,"Matthew McConaughey, Jessica Chastain, Mackenzie Foy, Brooke Smith, Andrew Borba, Jeff Hephner, Ryan Irving, Elyes Gabel, Joseph Oliveira, David Oyelowo, Casey Affleck, Flora Nolan, Kristian Van der Heyden, Collette Wolfe, Matt Damon, William Devane, Josh Stewart, Benjamin Hardy, Griffen Fraser, Russ Fega, Timothée Chalamet, Topher Grace, Liam Dickinson, Ellen Burstyn, David Gyasi, Anne Hathaway, Lena Georgas, Wes Bentley, Francis X. McCarthy, Alexander Michael Helisek, Michael Caine, Bill Irwin, Leah Cairns, William Patrick Brown, John Lithgow",/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,C1
2,2,13,xXx,7451,5.9,2002-08-09,124,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","Action, Adventure, Thriller, Crime",Columbia Pictures,United States of America,Rob Cohen,"Rich Wilkes, David Asman, Martina Smuková, Mary-Pat Green, Brian Deegan, Eve, Leila Arcieri, Tom Everett, Rick Thorne, Jason Ellis, Marek Vašut, TeeJay Boyce, Carey Hart, Michael Roof, Richy Müller, Radek Tomečka, Esteban Cueto, Leonard L. Thomas, Václav Chalupa, Oliver Riedel, Till Lindemann, W. Colin McKay, Werner Daehn, Joe Bucaro III, Ivo Niederle, Danny Trejo, Christian Lorenz, Mat Hoffman, Phil Hartnoll, Alena Cihalikova, Samuel L. Jackson, William Hope, Asia Argento, Tanner Gill, Thomas Ian Griffith, Marton Csokas, Scott Waugh, Vítězslav Bouchner, Martin Bárta, Vin Diesel, Michal Müller, Rob Wells, Rob Roy, Armando Cantina, Roman Matrka, Olga Lounová, Richard Kruspe, Paul Hartnoll, Paul Landers, Jan Filipenský, Frank Mercuri, Chris Gann, Tony Hawk, Martina Bauerová, Ivan Rueda, Christoph Schneider, Petr Jákl, Mike Vallely, Joshua Montero, Martin Hub, F. Valentino Morales, Christopher Eric Ruiz, Luboš Pospíšil, Ted Maynard, Rob Cohen, Mike Escamilla",/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,B2
3,3,14,Scary Movie,4247,6.4,2000-07-07,88,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",Comedy,Brad Grey Pictures,United States of America,Keenen Ivory Wayans,"Bruce Mahler, Frank B. Moore, Carmen Electra, Ted Cole, Aubrey Tennant, Craig Bruhnanski, Regina Hall, Kurt Fuller, Rick Ducommun, Kendall Saunders, Shannon Elizabeth, Mark Hoeppner, Kyle Graham, Mark McConchie, Marissa Jaret Winokur, Giacomo Baessato, Glynis Davies, Shawn Wayans, Tanja Reichert, Dexter Bell, Art Hives, Ted Gill, Peter Hanlon, Marlon Wayans, Jon Abrahams, Nels Lennarson, Leanne Santos, Chris Wilding, Andrew Keilty, Dave Sheridan, Jayne Trcka, Reg Tupper, Lee R. Mayes, Jennifer Ann Lee, Karen Kruper, Jim Shepard, Andrea Nemeth, Nicola Crosbie, Keenen Ivory Wayans, Anna Faris, David Neale, Lloyd Berry, Kelly Coffield Park, Doreen Ramus, Babe Dolan, James Van Der Beek, Johnny Hawkes, Kevin Hansen, Lochlyn Munro, David L. Lander, Dan Joffre, Susan Shears, Trevor Roberts, Ian Bliss, Peter Bryant, Zahf Paroo, Matthew Paxman, Chris Robson, Jessica Van der Veen, Cheri Oteri",/fVQFPRuw3yWXojYDJvA5EoFjUOY.jpg,A2
4,4,15,Coraline,14836,7.9,2009-02-05,100,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.","Animation, Family, Fantasy",Laika,United States of America,Henry Selick,"John Hodgman, Robert Bailey Jr., Harry Selick, Jennifer Saunders, George Selick, Marina Budovsky, Hannah Kaiser, Dawn French, Aankha Neal, Carolyn Crawford, Yona Prost, Jeremy Ryder, Dakota Fanning, John Linnell, Emerson Tenney, Christopher Murrie, Keith David, Teri Hatcher, Jerome Ranft, Ian McShane",/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,A2
5,5,16,The Lord of the Rings: The Return of the King,122,8.5,2003-12-17,201,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​","Adventure, Fantasy, Action",New Line Cinema,New Zealand,Peter Jackson,"Robert Pollock, Ian McKellen, Jed Brophy, Liv Tyler, Dominic Monaghan, Brad Dourif, John Noble, Joseph Mika-Hunt, Alistair Browning, Michael Elsworth, Michael Semanick, Orlando Bloom, Bret McKenzie, Sean Astin, Harry Sinclair, Clint Elvy, Jarl Benzon, Lawrence Makoare, Hugo Weaving, Karl Urban, Zo Hartley, Peter Jackson, Richard Taylor, Sandro Kopp, Sean Bean, Peter Tait, Maisy McLeod-Riera, Bruce Phillips, Sadwyn Brophy, Ross Duncan, Billy Jackson, Pete Smith, Craig Parker, Sala Baker, Cate Blanchett, Shane Rangi, Christian Rivers, John Stephenson, Viggo Mortensen, Todd Rippon, Stephen Ure, Ian Holm, Thomas Robins, Emma Deakin, Sarah McLeod, Joel Tobeck, Bernard Hill, Jason Fitch, Noel Appleby, Andy Serkis, David Aston, Katie Jackson, Jane Abbott, Aidan Bell, Andrew Lesnie, Billy Boyd, John Bach, Henry Mortensen, Jørn Benzon, Howard Shore, Ali Astin, David Wenham, Gino Acevedo, Miranda Otto, Marton Csokas, Rick Porras, Alan Howard, Richard Edge, Lee Hartley, Elijah Wood, Paul Norell, Royd Tolkien, Christopher Lee, Bruce Hopkins, Ian Hughes, John Rhys-Davies",/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,B2
6,6,18,Gladiator,98,8.2,2000-05-04,155,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.","Action, Drama, Adventure",Universal Pictures,United Kingdom,Ridley Scott,"David J. Nicholls, Mark Lewis, Steve Saunders, Joaquin Phoenix, John Shrapnel, Ralf Moeller, Spencer Treat Clark, Tony Curran, Omid Djalili, David Hemmings, Oliver Reed, João Costa Menezes, Tommy Flanagan, Giannina Facio, Paul Woodadge, Djimon Hounsou, Nicholas McGaughey, Chick Allan, Paul Sacks, Tony Tomlinson, Sven-Ole Thorsen, Mike Mitchell, Connie Nielsen, Derek Jacobi, Brian Smyj, David Bailie, Chris Kell, Al Hunter Ashton, Malcolm Ellul, Richard Harris, Tomas Arana, John Quinn, Neil Roche, Antone Pagán, Giorgio Cantarini, Ray Mangion, Alun Raglan, Michael Yale, Norman Campbell Rees, David Schofield, Russell Crowe, Richard Stride, Billy Dowd",/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,B2
7,7,19,Harry Potter and the Philosopher's Stone,671,7.9,2001-11-16,152,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","Adventure, Fantasy",Warner Bros. Pictures,United Kingdom,Chris Columbus,"Paul Marc Davis, Jimmy Vee, Dani Harmer, Alan Rickman, David Bradley, Robbie Coltrane, Scot Fearn, Matthew Lewis, Leilah Sutherland, Kieri Kennedy, John Cleese, James Phelps, Devon Murray, Harry Taylor, Richard Griffiths, Julie Walters, Josh Herdman, Violet Columbus, Derek Deadman, Sean Biggerstaff, Adrian Rawlins, Paul Grant, Chris Rankin, Verne Troyer, Derek Hough, Bonnie Wright, Eleanor Columbus, Emma Watson, Oliver Phelps, Alfred Enoch, Rupert Grint, John Hurt, Zoë Wanamaker, Terence Bayler, Richard Bremmer, Leslie Phillips, Elizabeth Spriggs, Warwick Davis, Ray Fearon, Jamie Yeates, Richard Harris, Tom Felton, Mark Ballas, Ian Hart, Julianne Hough, Zoe Sugg, Simon Fisher-Becker, Will Theakston, Emily Dale, David Holmes, Ben Borowiecki, Harry Melling, Luke Youngblood, Daniel Radcliffe, Fiona Shaw, Nina Young, Danielle Tabor, Geraldine Somerville, Saunders Triplets, Jamie Waylett, Leila Hoffman, Maggie Smith, Jean Southern",/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,B2
8,8,23,The Godfather,238,8.7,1972-03-14,175,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Drama, Crime",Paramount Pictures,United States of America,Francis Ford Coppola,"Ron Gilbert, Rick Petrucelli, Filomena Spagnuolo, Raymond Martino, James Caan, Sterling Hayden, Richard Bright, Carol Morley, Alex Rocco, Vito Scotti, Rudy Bond, John Marley, Tere Livrano, Tony King, Frank Sivero, Lou Martini Jr., Gabriele Torrei, Nick Vallelonga, Talia Shire, Simonetta Stefanelli, Roman Coppola, Louis Guss, Al Pacino, Tony Lip, Conrad Yama, MAHAD, Italia Coppola, Al Lettieri, Sofia Coppola, Richard S. Castellano, Diane Keaton, Corrado Gaipa, Ardell Sheridan, John Martino, Saro Urzì, Sonny Grosso, Abe Vigoda, Julie Gregg, Jeannie Linero, Tony Giorgio, Richard Conte, Gray Frederickson, Joe Spinell, Joe Lo Grippo, Al Martino, Lenny Montana, Angelo Infanti, Joseph Medaglia, Tom Rosqui, Randy Jurgensen, Marlon Brando, Gianni Russo, Don Costello, Victor Rendina, Sal Richards, Franco Citti, Morgana King, Robert Duvall, Salvatore Corsitto, John Cazale",/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,C1
9,9,26,The Nightmare Before Christmas,9479,7.84,1993-10-09,76,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.","Fantasy, Animation, Family",Touchstone Pictures,United States of America,Henry Selick,"John Morris, Gary Schwartz, Glenn Walters, Ann Fraser, Kerry Katz, Elena Praskin, Catherine O'Hara, Robert Olague, Susan McBride, L. Peter Callender, Bobbi Page, Chris Sarandon, Daamen J. Krall, Mia Brown, Jennifer Levey, David J. Randolph, Edward Ivory, Randy Crenshaw, Ken Page, Danny Elfman, Tim Burton, Paul Reubens, Jesse McClurg, Christina MacGregor, Trampas Warman, Gary Raff, Debi Durst, William Hickey, Greg Proops, Doris Hess, Joe Ranft, Glenn Shadix, David McCharen, Judi M. Durand, Sherwood Ball, Carmen Twillie",/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,A2
